# BEGIN PLOT
LegendOnly=/CMS_2011_S8884919/d02-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias_Miro/src/PythiaMB_900.yoda/CMS_2011_S8884919/d02-x01-y01
DrawOnly=/CMS_2011_S8884919/d02-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias_Miro/src/PythiaMB_900.yoda/CMS_2011_S8884919/d02-x01-y01
Title=Charged hadron multiplicity, $|\eta| < 0.5$, $\sqrt{s} = 0.9\,\text{TeV}$
RatioPlot=1
LogY=1
FullRange=1
RatioPlotReference=/CMS_2011_S8884919/d02-x01-y01
LegendXPos=0.7
XLabel=n
YLabel=$P_{n}$
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2011_S8884919/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2011_S8884919/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.930000e-01	2.189155e-02	3.166323e-02
5.000000e-01	1.500000e+00	1.504000e-01	1.218072e-02	1.586190e-02
1.500000e+00	2.500000e+00	1.350700e-01	7.909551e-03	1.094854e-02
2.500000e+00	3.500000e+00	1.164700e-01	6.072833e-03	8.490583e-03
3.500000e+00	4.500000e+00	9.566000e-02	4.838605e-03	7.046453e-03
4.500000e+00	5.500000e+00	7.567000e-02	3.828276e-03	5.675747e-03
5.500000e+00	6.500000e+00	5.817000e-02	3.016836e-03	4.395202e-03
6.500000e+00	7.500000e+00	4.427000e-02	2.365798e-03	3.365071e-03
7.500000e+00	8.500000e+00	3.370000e-02	1.884702e-03	2.604995e-03
8.500000e+00	9.500000e+00	2.572000e-02	1.561089e-03	2.053534e-03
9.500000e+00	1.050000e+01	1.948000e-02	1.308167e-03	1.652211e-03
1.050000e+01	1.150000e+01	1.457000e-02	1.114002e-03	1.349741e-03
1.150000e+01	1.250000e+01	1.069000e-02	9.219544e-04	1.118034e-03
1.250000e+01	1.350000e+01	7.690000e-03	7.203471e-04	9.060905e-04
1.350000e+01	1.450000e+01	5.500000e-03	5.508176e-04	7.061161e-04
1.450000e+01	1.550000e+01	3.960000e-03	4.301163e-04	5.457105e-04
1.550000e+01	1.650000e+01	2.890000e-03	3.383785e-04	4.148494e-04
1.650000e+01	1.750000e+01	2.112000e-03	2.746962e-04	3.257760e-04
1.750000e+01	1.850000e+01	1.544000e-03	2.237722e-04	2.668970e-04
1.850000e+01	1.950000e+01	1.118000e-03	1.907092e-04	2.292706e-04
1.950000e+01	2.050000e+01	7.520000e-04	1.601125e-04	1.904206e-04
2.050000e+01	2.350000e+01	3.350000e-04	8.134494e-05	9.646243e-05
2.350000e+01	2.850000e+01	9.800000e-05	2.505993e-05	3.417601e-05
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Ups/PYTHIA/rivet_MinBias_Miro/src/PythiaMB_900.yoda/CMS_2011_S8884919/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Ups/PYTHIA/rivet_MinBias_Miro/src/PythiaMB_900.yoda/CMS_2011_S8884919/d02-x01-y01
ScaledBy=9.99999999999999955e-07
Title=PythiaMB_900
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.667680e-01	4.083724e-04	4.083724e-04
5.000000e-01	1.500000e+00	1.566320e-01	3.957676e-04	3.957676e-04
1.500000e+00	2.500000e+00	1.596410e-01	3.995510e-04	3.995510e-04
2.500000e+00	3.500000e+00	1.325400e-01	3.640604e-04	3.640604e-04
3.500000e+00	4.500000e+00	1.000850e-01	3.163621e-04	3.163621e-04
4.500000e+00	5.500000e+00	7.408800e-02	2.721911e-04	2.721911e-04
5.500000e+00	6.500000e+00	5.554000e-02	2.356693e-04	2.356693e-04
6.500000e+00	7.500000e+00	4.125600e-02	2.031157e-04	2.031157e-04
7.500000e+00	8.500000e+00	3.101400e-02	1.761079e-04	1.761079e-04
8.500000e+00	9.500000e+00	2.337000e-02	1.528725e-04	1.528725e-04
9.500000e+00	1.050000e+01	1.708600e-02	1.307134e-04	1.307134e-04
1.050000e+01	1.150000e+01	1.244200e-02	1.115437e-04	1.115437e-04
1.150000e+01	1.250000e+01	9.104000e-03	9.541488e-05	9.541488e-05
1.250000e+01	1.350000e+01	6.305000e-03	7.940403e-05	7.940403e-05
1.350000e+01	1.450000e+01	4.531000e-03	6.731270e-05	6.731270e-05
1.450000e+01	1.550000e+01	3.057000e-03	5.529014e-05	5.529014e-05
1.550000e+01	1.650000e+01	2.169000e-03	4.657252e-05	4.657252e-05
1.650000e+01	1.750000e+01	1.478000e-03	3.844477e-05	3.844477e-05
1.750000e+01	1.850000e+01	9.780000e-04	3.127299e-05	3.127299e-05
1.850000e+01	1.950000e+01	7.130000e-04	2.670206e-05	2.670206e-05
1.950000e+01	2.050000e+01	4.440000e-04	2.107131e-05	2.107131e-05
2.050000e+01	2.350000e+01	1.886667e-04	7.930252e-06	7.930252e-06
2.350000e+01	2.850000e+01	3.440000e-05	2.622975e-06	2.622975e-06
# END HISTO1D

