# BEGIN PLOT
LegendOnly=/CMS_2011_S8884919/d04-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias/PY_rivet_MinBias.yoda/CMS_2011_S8884919/d04-x01-y01
DrawOnly=/CMS_2011_S8884919/d04-x01-y01 //home/ceskajak/Ups/PYTHIA/rivet_MinBias/PY_rivet_MinBias.yoda/CMS_2011_S8884919/d04-x01-y01
Title=Charged hadron multiplicity, $|\eta| < 1.5$, $\sqrt{s} = 0.9\,\text{TeV}$
RatioPlot=1
LogY=1
FullRange=1
RatioPlotReference=/CMS_2011_S8884919/d04-x01-y01
LegendXPos=0.7
XLabel=n
YLabel=$P_{n}$
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2011_S8884919/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2011_S8884919/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	7.530000e-02	1.452481e-02	3.405305e-02
5.000000e-01	1.500000e+00	3.557000e-02	6.150715e-03	7.249897e-03
1.500000e+00	2.500000e+00	4.347000e-02	6.900384e-03	7.817986e-03
2.500000e+00	3.500000e+00	5.068000e-02	6.894440e-03	7.751729e-03
3.500000e+00	4.500000e+00	5.566000e-02	6.012529e-03	6.919566e-03
4.500000e+00	5.500000e+00	5.786000e-02	4.686747e-03	5.711926e-03
5.500000e+00	6.500000e+00	5.835000e-02	4.288088e-03	5.232991e-03
6.500000e+00	7.500000e+00	5.688000e-02	3.967934e-03	4.813003e-03
7.500000e+00	8.500000e+00	5.348000e-02	3.528810e-03	4.353321e-03
8.500000e+00	9.500000e+00	4.890000e-02	3.119776e-03	3.883877e-03
9.500000e+00	1.050000e+01	4.422000e-02	2.712711e-03	3.445693e-03
1.050000e+01	1.150000e+01	4.002000e-02	2.322972e-03	3.054996e-03
1.150000e+01	1.250000e+01	3.647000e-02	2.033937e-03	2.725234e-03
1.250000e+01	1.350000e+01	3.337000e-02	1.786645e-03	2.436740e-03
1.350000e+01	1.450000e+01	3.055000e-02	1.591257e-03	2.189795e-03
1.450000e+01	1.550000e+01	2.797000e-02	1.450414e-03	1.969568e-03
1.550000e+01	1.650000e+01	2.556000e-02	1.341231e-03	1.790670e-03
1.650000e+01	1.750000e+01	2.329000e-02	1.249080e-03	1.639573e-03
1.750000e+01	1.850000e+01	2.122000e-02	1.159483e-03	1.500300e-03
1.850000e+01	1.950000e+01	1.936000e-02	1.089312e-03	1.371022e-03
1.950000e+01	2.050000e+01	1.765000e-02	1.038460e-03	1.271220e-03
2.050000e+01	2.150000e+01	1.604000e-02	9.972462e-04	1.181271e-03
2.150000e+01	2.250000e+01	1.451000e-02	9.588013e-04	1.103540e-03
